AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
Fixed telephone subscriptions (per 100 people),620,Russian Federation,RUS,Fixed telephone subscriptions (per 100 people),IT.MLT.MAIN.P2,16.1983609149,16.8361591707,17.4655211692,19.0778379613,19.7988634237,21.0143039381,21.8515743092,22.7667399372,24.3951358353,24.9172340595,26.674731073,27.8601915283,30.5465629714,31.4775257774,31.6955932685,31.5816568978,31.2745311931,30.7808350738
Internet users (per 100 people),625,Russian Federation,RUS,Internet users (per 100 people),IT.NET.USER.P2,0.0538174927194,0.148151042331,0.269752929717,0.472963762962,0.812744450672,1.01898461403,1.97723010898,2.94436778665,4.12827181797,8.29886061554,12.8593889008,15.2266731977,18.0232774617,24.66,26.83,29.0,43.0,49.0
"Armed forces personnel, total",636,Russian Federation,RUS,"Armed forces personnel, total",MS.MIL.TOTL.P1,1400000.0,1800000.0,1622000.0,1823000.0,1702000.0,1482100.0,1427100.0,1386200.0,1397200.0,1369700.0,1452000.0,1452000.0,1446000.0,1476000.0,1476000.0,1495000.0,1430000.0,1364000.0
Armed forces personnel (% of total labor force),637,Russian Federation,RUS,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,1.98855764048,2.55057094956,2.32408000355,2.66525993185,2.51503211941,2.0471532277,1.96164209636,1.94127906707,1.92962202237,1.85294397042,1.94192896806,1.92678797531,1.91320055192,1.9245797111,1.91505501034,1.94327218049,1.8669836065,1.77221333972
General government final consumption expenditure (constant 2005 US$),644,Russian Federation,RUS,General government final consumption expenditure (constant 2005 US$),NE.CON.GOVT.KD,1.13018482141e+11,1.11775278838e+11,1.15240312483e+11,1.12474544986e+11,1.13599290435e+11,1.17120868431e+11,1.19463285804e+11,1.18520582325e+11,1.21588776585e+11,1.24506907221e+11,1.27121552275e+11,1.28901254002e+11,1.3186598285e+11,1.35426364385e+11,1.40030860771e+11,1.39190675612e+11,1.37102815473e+11,1.39022254895e+11
General government final consumption expenditure (constant LCU),646,Russian Federation,RUS,General government final consumption expenditure (constant LCU),NE.CON.GOVT.KN,1.0430223455e+12,1.0315490997e+12,1.0635271218e+12,1.0380024709e+12,1.0483824956e+12,1.0808823529e+12,1.1025e+12,1.0938e+12,1.12211568e+12,1.1490464563e+12,1.1731764319e+12,1.1896009019e+12,1.2169617227e+12,1.2498196892e+12,1.2923135586e+12,1.2845596773e+12,1.2652912821e+12,1.2830053601e+12
Gross national expenditure (% of GDP),678,Russian Federation,RUS,Gross national expenditure (% of GDP),NE.DAB.TOTL.ZS,95.4369545641,96.6048302415,95.7764717601,97.7972251868,93.3297839976,82.953226074,79.9728975033,87.3238964175,89.209011038,88.6283054563,87.7460702877,86.3071165605,87.2724509794,91.3780017763,90.7633453738,92.5588586195,91.9243839173,91.4655410384
Exports of goods and services (constant 2005 US$),681,Russian Federation,RUS,Exports of goods and services (constant 2005 US$),NE.EXP.GNFS.KD,1.22234526985e+11,1.36337388909e+11,1.41381872303e+11,1.4067496294e+11,1.43347787237e+11,1.59402739406e+11,1.74545999649e+11,1.8190438051e+11,2.00610255593e+11,2.25887147795e+11,2.52541831239e+11,2.68957050267e+11,2.88590914939e+11,3.0677214258e+11,3.08612775435e+11,2.94107974987e+11,3.14695533239e+11,3.15639619837e+11
Exports of goods and services (constant LCU),683,Russian Federation,RUS,Exports of goods and services (constant LCU),NE.EXP.GNFS.KN,2.2541949956e+12,2.5142737275e+12,2.6073018555e+12,2.5942653462e+12,2.6435563878e+12,2.9396347032e+12,3.2189e+12,3.3546e+12,3.6995654614e+12,4.1657107095e+12,4.6572645733e+12,4.9599867705e+12,5.3220658048e+12,5.6573559505e+12,5.6913000862e+12,5.4238089821e+12,5.8034756109e+12,5.8208860377e+12
Gross fixed capital formation (% of GDP),692,Russian Federation,RUS,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,21.8108882521,21.0780539027,20.0019922303,18.2924226254,16.1507453605,14.3867142146,16.8637757337,18.8883671005,17.9247282949,18.4150283879,18.385299288,17.7553986039,18.5034095135,20.9952544479,22.2904610725,21.995134703,21.6253843086,21.3523175817
