,Unnamed: 0,Country Name,Country Code,AAAIndicator Name,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
37,42,"Egypt, Arab Rep.",EGY,"Agriculture, value added (current LCU)",NV.AGR.TOTL.CN,27500000000.0,32050000000.0,36968000000.0,41882000000.0,45652000000.0,48935000000.0,52845000000.0,55065000000.0,58369000000.0,63822000000.0,69252000000.0,75292000000.0,81766200000.0,99953100000.0,1.131038e+11,1.354646e+11,1.609696e+11,1.901593e+11
38,43,"Egypt, Arab Rep.",EGY,"Agriculture, value added (current US$)",NV.AGR.TOTL.CD,8155397438.64,9451489152.6,10898585034.2,12354571906.9,13474616253.0,14430846230.3,15512989416.9,14987751687.6,13533270877.2,12676299767.3,11251157576.6,12539679896.1,14227879378.4,17510441119.8,20564327272.7,24563828244.0,29201364197.1,32731345852.6
39,44,"Egypt, Arab Rep.",EGY,"Air transport, freight (million ton-km)",IS.AIR.GOOD.MT.K1,185.199996948,164.100006103,198.0,208.600006103,255.100006103,269.5,278.061,239.036,249.206,238.885,241.872,286.954,309.434,206.828,195.482,180.31,416.985098697,333.306675121
40,45,"Egypt, Arab Rep.",EGY,"Air transport, passengers carried",IS.AIR.PSGR,3537500.0,3897200.0,4282400.0,4416300.0,3894900.0,4620100.0,4521702.0,4389163.0,4526688.0,4180814.0,4621310.0,4888146.0,4988262.0,5829044.0,6688999.0,6215870.0,9518106.01324,7708160.10711
41,46,"Egypt, Arab Rep.",EGY,"Air transport, registered carrier departures worldwide",IS.AIR.DPRT,38000.0,39000.0,41300.0,41600.0,39500.0,44300.0,47418.0,41373.0,41858.0,42152.0,42189.0,44730.0,47444.0,51440.0,57510.0,56414.0,104036.125,78726.0909091
42,47,"Egypt, Arab Rep.",EGY,Alternative and nuclear energy (% of total energy use),EG.USE.COMM.CL.ZS,2.84746417047,2.78782636071,2.65808714716,2.6488891045,2.52129988091,2.96329042578,2.92432581479,2.8911420901,2.38496137174,2.35452194205,2.14274956656,1.84361898389,1.79060002259,2.01777093059,1.85408115726,1.62654205019,1.74187791577,1.6537841325
43,48,"Egypt, Arab Rep.",EGY,Arable land (% of land area),AG.LND.ARBL.ZS,2.85900848862,2.82987593551,2.72284896278,2.79162187955,2.80638907027,3.0076849666,2.81380280275,2.87407705058,2.94941986036,2.91928273645,2.97855241348,2.57471495304,2.61690692652,2.57571952383,2.65407604601,2.89718217891,2.88613190015,2.82083479833
44,49,"Egypt, Arab Rep.",EGY,Arable land (hectares per person),AG.LND.ARBL.HA.PC,0.046447980457,0.0451192654987,0.0426202247327,0.0429146571687,0.0423772560274,0.0446114089253,0.0409893011485,0.0411063543226,0.0414053506262,0.0402227749324,0.0402874784017,0.0341997286839,0.0341530569575,0.0330389690904,0.0334531492949,0.0358517207142,0.035019078389,0.0335132986331
45,50,"Egypt, Arab Rep.",EGY,Arable land (hectares),AG.LND.ARBL.HA,2846000.0,2817000.0,2710460.0,2778920.0,2793620.0,2994000.0,2801000.0,2861000.0,2936000.0,2906000.0,2965000.0,2563000.0,2605000.0,2564000.0,2642000.0,2884000.0,2873000.0,2808000.0
46,51,"Egypt, Arab Rep.",EGY,Armed forces personnel (% of total labor force),MS.MIL.TOTL.TF.ZS,2.45223824053,3.46819632698,3.75201859438,3.73318160512,3.67207208277,3.46186790683,3.38315066314,3.76094972599,3.7246557175,3.57856587688,3.48389036869,3.34020632693,3.61411048895,3.45241535124,3.35679797135,3.27239420724,3.07878290387,3.00368466366
47,52,"Egypt, Arab Rep.",EGY,"Armed forces personnel, total",MS.MIL.TOTL.P1,430000.0,610000.0,672000.0,680000.0,680000.0,680000.0,678500.0,768000.0,773000.0,780000.0,798000.0,799000.0,866000.0,866000.0,866000.0,865500.0,835500.0,835500.0
61,68,"Egypt, Arab Rep.",EGY,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.208,26.581,26.088,25.685,25.334,25.026,24.764,24.563,24.435,24.378,24.374,24.401,24.427,24.427,24.377,24.263,24.078,23.823
62,69,"Egypt, Arab Rep.",EGY,Broad money (% of GDP),FM.LBL.BMNY.GD.ZS,84.6335428571,79.7874019608,78.6414559721,75.1547574276,77.0256437022,76.0433680104,76.7418994413,83.0020908837,88.2489040022,96.9812695308,96.6327362049,97.0951130041,97.3464187642,96.1701044441,88.3727384478,83.1273898772,80.719505702,75.7691522485
63,70,"Egypt, Arab Rep.",EGY,Broad money (current LCU),FM.LBL.BMNY.CN,1.481087e+11,1.627663e+11,1.804035e+11,1.998365e+11,2.213717e+11,2.339094e+11,2.609992e+11,2.977285e+11,3.343751e+11,4.048968e+11,4.68958671315e+11,5.22857181585e+11,6.01308827441e+11,7.162749379e+11,7.913778728e+11,8.663536573e+11,9.739615558e+11,1.03887084648e+12
64,71,"Egypt, Arab Rep.",EGY,Broad money growth (annual %),FM.LBL.BMNY.ZG,11.2146767718,9.89651519458,10.8359039924,10.7719639586,10.7764097149,5.66364173921,11.581321657,14.07257187,12.3087309411,21.0905955617,15.821777627,11.4932324673,15.0044120305,19.119311943,10.4852104864,9.47408148205,12.4207819282,6.6644612708
65,72,"Egypt, Arab Rep.",EGY,Broad money to total reserves ratio,FM.LBL.BMNY.IR.ZS,3.04747102876,2.80341437211,2.90684351322,3.04321263211,3.47111405246,4.54110450959,5.55805322611,5.95934794794,5.50774113681,5.50690038566,4.96725141076,3.98413833484,4.0232430655,3.89520421708,4.19122543163,4.50174988541,4.77161005269,9.59442954087
66,75,"Egypt, Arab Rep.",EGY,Cereal production (metric tons),AG.PRD.CREL.MT,15011740.0,16097252.0,16542173.0,18071326.0,17964394.0,19400567.0,20105573.0,18561065.0,20194329.0,20681928.0,20823161.0,22423470.0,22518430.0,21599234.0,23743022.0,22756929.0,19464743.0,22014919.0
67,76,"Egypt, Arab Rep.",EGY,Cereal yield (kg per hectare),AG.YLD.CREL.KG,5861.058,5903.704,6499.062,6605.461,6797.4,7166.552,7280.08,7099.388,7445.644,7515.427,7556.158,7536.895,7500.246,7418.484,7452.223,7158.347,6504.335,7247.023
68,77,"Egypt, Arab Rep.",EGY,Changes in inventories (current LCU),NE.GDI.STKB.CN,2100000000.0,2000000000.0,1900000000.0,-1000000000.0,500000000.0,2500000000.0,2100000000.0,1900000000.0,700000000.0,2400000000.0,2600000000.0,300000000.0,-40900000.0,-41900000.0,965300000.0,2862800000.0,3472800000.0,5433600000.0
69,78,"Egypt, Arab Rep.",EGY,Changes in inventories (current US$),NE.GDI.STKB.CD,622775804.406,589796514.983,560141516.039,-294985242.036,147579692.599,737245643.728,616468497.975,517147520.32,162300015.66,476687027.069,422413933.161,49964192.3288,-7116880.40509,-7340317.43807,175509090.909,519112207.152,629997823.09,935263438.732
71,84,"Egypt, Arab Rep.",EGY,Claims on central government (annual growth as % of broad money),FM.AST.CGOV.ZG.M3,2.42497814617,0.585325114752,-0.216833272003,2.75561294435,4.91062820893,0.619391928466,7.73672024974,2.80949567213,11.1266808518,9.25903274496,6.967769094,-1.560162485,2.29921634012,0.826323126362,4.60382141286,10.4796270777,2.46020903357,17.3142848947
72,85,"Egypt, Arab Rep.",EGY,"Claims on central government, etc. (% GDP)",FS.AST.CGOV.GD.ZS,29.6876735721,25.8923265536,22.8715844269,21.6015934086,23.4000920021,22.3091751807,25.4983648256,26.2204349038,33.5655843123,37.8778203865,38.3993762816,33.2471044564,30.9304314375,26.3192841688,25.5725346126,29.9304833333,27.6188967545,36.6044844851
73,86,"Egypt, Arab Rep.",EGY,Claims on private sector (annual growth as % of broad money),FM.AST.PRVT.ZG.M3,8.9709154285,12.1165063227,10.4646354927,12.0482141422,14.1384581896,11.8165510768,7.15469322738,7.79500473565,3.37599524399,5.36322830259,9.19929794456,2.8266028942,5.53583664305,5.74197264822,6.17840487408,-0.896345172869,2.64234535259,2.88664772436
74,87,"Egypt, Arab Rep.",EGY,CO2 emissions (kg per 2005 US$ of GDP),EN.ATM.CO2E.KD.GD,1.525177719,1.63537185903,1.66029912724,1.66907511075,1.81250466686,1.75222761265,1.87426441992,1.60692935717,1.59151397892,1.79410404242,1.75791749008,1.86437547549,1.8640060595,1.88414614844,1.78979880236,1.7207532902,1.69124760655,1.79174480007
75,88,"Egypt, Arab Rep.",EGY,CO2 emissions (kg per 2011 PPP $ of GDP),EN.ATM.CO2E.PP.GD.KD,0.222721663845,0.238813311336,0.242453439684,0.243734996334,0.264680010797,0.25587775409,0.273698785979,0.234659853507,0.232408746209,0.261992968074,0.256708646747,0.272254703673,0.272200757865,0.275141814544,0.261364273976,0.251281559576,0.246972845337,0.261648447973
76,89,"Egypt, Arab Rep.",EGY,CO2 emissions (kg per PPP $ of GDP),EN.ATM.CO2E.PP.GD,0.311845941834,0.327545183843,0.326575980115,0.322777679159,0.346751965069,0.33016767761,0.345305265077,0.28945634401,0.282345218714,0.31206333044,0.297586312287,0.305769334219,0.296596512478,0.292029277729,0.272069166058,0.259601979053,0.252071915526,0.261648447973
77,90,"Egypt, Arab Rep.",EGY,CO2 emissions (kt),EN.ATM.CO2E.KT,85312.755,95723.368,102030.608,108202.169,122243.112,125393.065,141326.18,125451.737,127193.562,147963.45,150911.718,167207.866,178615.903,193342.575,196796.889,198069.338,204677.272,220790.07
78,91,"Egypt, Arab Rep.",EGY,CO2 emissions (metric tons per capita),EN.ATM.CO2E.PC,1.39234194553,1.5331799983,1.60436510503,1.67095813753,1.85434227089,1.86839054747,2.06814043277,1.80246891,1.79376499728,2.04800431782,2.05054049898,2.23116022279,2.34175781523,2.4913570044,2.49185303122,2.46224916367,2.4948170667,2.63511522476
79,92,"Egypt, Arab Rep.",EGY,"CO2 emissions from electricity and heat production, total (% of total fuel combustion)",EN.CO2.ETOT.ZS,33.8062064598,32.3588829471,31.4940194087,31.903963095,34.2948080366,34.65337132,33.4406713505,34.8494270232,35.2921253175,38.3251231527,44.1364285178,42.0919555526,41.6067146283,39.465648855,41.748118189,42.9880390651,42.0560747664,42.4971122545
80,93,"Egypt, Arab Rep.",EGY,CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,23.6492585429,27.1950658903,27.1779758482,23.1809401159,21.5262778978,25.2405322416,28.8349766476,34.5912133524,41.6796402007,39.375464684,38.2149973271,41.0741699197,41.3701779959,41.9952584163,42.3686809399,41.3263228052,42.7475992547,43.8980235841
81,94,"Egypt, Arab Rep.",EGY,CO2 emissions from gaseous fuel consumption (kt),EN.ATM.CO2E.GF.KT,20175.834,26032.033,27729.854,25082.28,26314.392,31649.877,40751.371,43395.278,53013.819,58261.296,57670.909,68679.243,73893.717,81194.714,83380.246,81854.774,87494.62,96922.477
82,95,"Egypt, Arab Rep.",EGY,CO2 emissions from liquid fuel consumption (% of total),EN.ATM.CO2E.LF.ZS,62.6090694176,61.0366227398,60.3184301323,65.0998068255,67.6205903528,63.4829653458,60.4203425013,52.9975738797,44.9547367814,49.5762081784,50.1603732322,47.4121672003,46.8927713564,46.057847321,46.0674157303,45.4900581331,43.571735703,44.4045839562
83,96,"Egypt, Arab Rep.",EGY,CO2 emissions from liquid fuel consumption (kt),EN.ATM.CO2E.LF.KT,53413.522,58426.311,61543.261,70439.403,82661.514,79603.236,85389.762,66486.377,57179.531,73354.668,75697.881,79276.873,83757.947,89049.428,90659.241,90101.857,89181.44,98040.912
84,97,"Egypt, Arab Rep.",EGY,CO2 emissions from manufacturing industries and construction (% of total fuel combustion),EN.CO2.MANF.ZS,29.4616846105,31.027926322,32.0920785376,31.2329628853,27.939128705,28.5280151947,27.5761124122,30.4166296527,30.550381033,27.3234811166,21.8541056269,26.082906381,26.1832639152,27.5220199648,25.030895405,22.1935696258,21.6692023473,21.2590570198
85,98,"Egypt, Arab Rep.",EGY,"CO2 emissions from other sectors, excluding residential buildings and commercial and public services (% of total fuel combustion)",EN.CO2.OTHX.ZS,0.316656111463,0.439691027926,0.50778605281,0.817781505557,0.238710960812,0.408357075024,0.224434035909,0.17766722928,0.160880609653,0.12315270936,1.70535647209,3.59305343004,3.55925785687,3.59953024075,3.59510167397,3.82969384396,3.84155618344,3.7855717736
86,99,"Egypt, Arab Rep.",EGY,CO2 emissions from residential buildings and commercial and public services (% of total fuel combustion),EN.CO2.BLDG.ZS,11.3109563015,11.2061794415,10.8102008576,11.0715034598,11.2293614482,9.72459639126,10.5191256831,9.79834769477,9.6867061812,9.33497536946,9.00007512584,7.95794796726,7.73696832008,7.88021139166,7.90922368273,8.29584110611,8.23190610737,8.06468549827
87,100,"Egypt, Arab Rep.",EGY,CO2 emissions from solid fuel consumption (% of total),EN.ATM.CO2E.SF.ZS,4.33268858801,2.56282562059,3.36400230017,2.63666248687,2.28581713463,2.00029244042,2.2262584328,2.1922773377,2.32658709566,2.07187112763,2.1164406862,1.83560682486,1.65677800817,1.52678994784,1.46645051894,1.37556929685,2.03167550523,1.75718319216
88,101,"Egypt, Arab Rep.",EGY,CO2 emissions from solid fuel consumption (kt),EN.ATM.CO2E.SF.KT,3696.336,2453.223,3432.312,2852.926,2794.254,2508.228,3146.286,2750.25,2959.269,3065.612,3193.957,3069.279,2959.269,2951.935,2885.929,2724.581,4158.378,3879.686
89,102,"Egypt, Arab Rep.",EGY,CO2 emissions from transport (% of total fuel combustion),EN.CO2.TRAN.ZS,25.1044965168,24.9673202614,25.1071992778,24.9737890543,26.3079371394,26.685660019,28.2494145199,24.7579284001,24.3183742591,24.9014778325,23.3040342574,20.2807904718,20.9201060204,21.5325895479,21.7222783957,22.692856359,24.2066941969,24.3935734537
90,103,"Egypt, Arab Rep.",EGY,CO2 intensity (kg per kg of oil equivalent energy use),EN.ATM.CO2E.EG.ZS,2.57470554661,2.71885109236,2.72917440091,2.7802944134,2.93229844512,2.94262205599,3.47377876281,2.74733103606,2.70025700233,3.02604565733,2.85567705675,2.71635869233,2.74643623197,2.77601800209,2.72059025853,2.67657958013,2.8105858885,2.89203981716
91,104,"Egypt, Arab Rep.",EGY,Coal rents (% of GDP),NY.GDP.COAL.RT.ZS,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.02739128441e-06,0.0,0.0,0.000787277867239,0.000278531108792,0.0,0.0,0.0,0.0,0.0,0.000699712450204
92,105,"Egypt, Arab Rep.",EGY,Combustible renewables and waste (% of total energy),EG.USE.CRNW.ZS,3.74765549711,3.3819846267,3.24871463018,3.18007143415,3.02053592914,3.00820661485,3.21076975738,2.90682213622,2.8640243725,2.80470220497,2.63841989964,2.30323871871,2.21683634472,2.10518547341,2.06140364216,2.04929763368,2.11770884543,2.05412174618
