,AAAIndicator Name,Unnamed: 0,Country Name,Country Code,AAAIndicator Name.1,Indicator Code,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011
123,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",1151,Russian Federation,RUS,"Labor force participation rate, total (% of total population ages 15+) (national estimate)",SL.TLF.CACT.NE.ZS,65.9000015259,65.0999984741,63.9000015259,62.2000007629,61.0999984741,65.3000030518,65.5,64.1999969482,64.9000015259,64.6999969482,65.4000015259,66.0,66.3000030518,67.0999984741,67.4000015259,67.5999984741,67.6999969482,68.3000030518
124,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",1152,Russian Federation,RUS,"Labor force participation rate, total (% of total population ages 15+) (modeled ILO estimate)",SL.TLF.CACT.ZS,60.7000007629,60.5,59.4000015259,57.9000015259,57.0,60.7000007629,60.7000007629,59.4000015259,60.0,61.0,61.5,61.9000015259,62.0999984741,63.0,63.2999992371,63.2000007629,63.0,63.4000015259
126,"Labor force, female (% of total labor force)",1166,Russian Federation,RUS,"Labor force, female (% of total labor force)",SL.TLF.TOTL.FE.ZS,47.181609444,47.2298716522,47.25910943,47.5370585899,47.5248168061,48.1974650771,48.2861507848,48.2673958287,48.7970694604,48.9957982531,49.1534894905,49.3071823795,49.4452141791,49.2904201085,48.9167068361,49.1077527526,48.767251614,48.8961741929
127,"Labor force, total",1167,Russian Federation,RUS,"Labor force, total",SL.TLF.TOTL.IN,70402787.0,70572434.0,69791057.0,68398582.0,67673092.0,72398098.0,72750274.0,71406529.0,72407963.0,73920206.0,74771015.0,75358577.0,75580158.0,76692069.0,77073504.0,76932095.0,76594138.0,76965903.0
128,"Adolescent fertility rate (births per 1,000 women ages 15-19)",1208,Russian Federation,RUS,"Adolescent fertility rate (births per 1,000 women ages 15-19)",SP.ADO.TFRT,45.1136,41.7594,38.4052,35.051,33.5634,32.0758,30.5882,29.1006,27.613,27.9486,28.2842,28.6198,28.9554,29.291,28.8178,28.3446,27.8714,27.3982
129,"Birth rate, crude (per 1,000 people)",1213,Russian Federation,RUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,9.5,9.3,8.9,8.6,8.8,8.3,8.7,9.1,9.8,10.2,10.4,10.2,10.4,11.3,12.0,12.3,12.5,12.6
130,"Death rate, crude (per 1,000 people)",1214,Russian Federation,RUS,"Death rate, crude (per 1,000 people)",SP.DYN.CDRT.IN,15.7,15.0,14.2,13.8,13.5,14.6,15.3,15.6,15.4,16.4,16.0,16.1,15.2,14.6,14.5,14.1,14.2,13.5
131,"Mortality rate, infant (per 1,000 live births)",1217,Russian Federation,RUS,"Mortality rate, infant (per 1,000 live births)",SP.DYN.IMRT.IN,22.2,22.2,22.0,21.6,21.1,20.5,19.7,18.8,17.7,16.6,15.4,14.4,13.3,12.4,11.6,10.9,10.3,9.8
132,"Life expectancy at birth, female (years)",1219,Russian Federation,RUS,"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,71.73,72.52,72.95,73.22,72.5,72.4,72.0,72.3,72.0,71.83,72.3,72.4,73.23,73.9,74.2,74.7,74.9,75.6
133,"Life expectancy at birth, total (years)",1220,Russian Federation,RUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.4670731707,65.2212195122,66.1941463415,66.9507317073,66.783902439,66.0436585366,65.3414634146,65.487804878,65.0853658537,65.0075609756,65.4212195122,65.47,66.6431707317,67.4975609756,67.8487804878,68.6048780488,68.856097561,69.6585365854
134,"Life expectancy at birth, male (years)",1221,Russian Federation,RUS,"Life expectancy at birth, male (years)",SP.DYN.LE00.MA.IN,57.55,58.27,59.76,60.98,61.34,59.99,59.0,59.0,58.5,58.51,58.87,58.87,60.37,61.4,61.8,62.8,63.1,64.0
135,"Fertility rate, total (births per woman)",1222,Russian Federation,RUS,"Fertility rate, total (births per woman)",SP.DYN.TFRT.IN,1.4,1.34,1.277,1.23,1.24,1.17,1.21,1.25,1.3,1.31,1.33,1.29,1.3,1.41,1.49,1.54,1.57,1.58
136,"Survival to age 65, female (% of cohort)",1223,Russian Federation,RUS,"Survival to age 65, female (% of cohort)",SP.DYN.TO65.FE.ZS,77.12261,76.90601,76.68941,76.472828,76.1879,75.90298,75.61806,75.33315,75.048224,75.6006,76.15298,76.70535,77.25773,77.8101,78.04246,78.27482,78.50718,78.73954
137,"Survival to age 65, male (% of cohort)",1224,Russian Federation,RUS,"Survival to age 65, male (% of cohort)",SP.DYN.TO65.MA.ZS,47.07981,46.5578,46.03579,45.513781,44.72591,43.93804,43.15017,42.36229,41.574427,42.6867,43.79898,44.91125,46.02353,47.135802,47.43581,47.73581,48.03581,48.33582
138,Population ages 0-14 (% of total),1228,Russian Federation,RUS,Population ages 0-14 (% of total),SP.POP.0014.TO.ZS,21.8093920578,21.3829279435,20.6983491949,20.1352007902,19.6017028548,18.9807546578,18.2435228853,17.6488332338,16.9477507505,16.2239019462,15.6095147484,15.173007005,14.9195504873,14.7555281874,14.7000936529,14.7475536703,14.8908187164,15.0835314343
139,Population ages 15-64 (% of total),1229,Russian Federation,RUS,Population ages 15-64 (% of total),SP.POP.1564.TO.ZS,66.2975328881,66.4826673012,66.9794083004,67.5144821133,68.0917884426,68.7019271587,69.3135593088,69.6096474868,69.9100787,70.2301403081,70.5909643638,71.0074661944,71.2698418645,71.6005019659,71.8945178706,72.0484492547,72.0220572362,71.8150988123
140,Population ages 65 and above (% of total),1230,Russian Federation,RUS,Population ages 65 and above (% of total),SP.POP.65UP.TO.ZS,11.8930750541,12.1344047553,12.3222425047,12.3503170966,12.3065087026,12.3173181835,12.4429178059,12.7415192793,13.1421705495,13.5459577457,13.7995208878,13.8195268005,13.8106076482,13.6439698467,13.4053884765,13.203997075,13.0871240474,13.1013697534
141,Age dependency ratio (% of working-age population),1231,Russian Federation,RUS,Age dependency ratio (% of working-age population),SP.POP.DPND,50.8351759637,50.415144782,49.2996176143,48.1163695281,46.8605869732,45.5563249688,44.2719156083,43.6582476784,43.0408919175,42.389007637,41.6611894377,40.8302616101,40.3118033798,39.6638251111,39.0926642018,38.7954920856,38.8463531313,39.2464833731
142,"Age dependency ratio, old (% of working-age population)",1232,Russian Federation,RUS,"Age dependency ratio, old (% of working-age population)",SP.POP.DPND.OL,17.9389408763,18.2519823276,18.3970612733,18.2928409828,18.073411352,17.9286356089,17.9516359063,18.3042435618,18.7986775932,19.2879550324,19.5485652207,19.4620758565,19.3779125953,19.0556900419,18.6459124288,18.3265523447,18.1709948665,18.2431967339
143,"Age dependency ratio, young (% of working-age population)",1233,Russian Federation,RUS,"Age dependency ratio, young (% of working-age population)",SP.POP.DPND.YG,32.8962350875,32.1631624545,30.9025563411,29.8235285453,28.7871756212,27.6276893599,26.320279702,25.3540041166,24.2422143242,23.1010526046,22.112624217,21.3681857536,20.9338907845,20.6081350693,20.446751773,20.468939741,20.6753582648,21.0032866393
144,"Population, total",1237,Russian Federation,RUS,"Population, total",SP.POP.TOTL,148336000.0,148375726.0,148160042.0,147915307.0,147670692.0,147214392.0,146596557.0,145976083.0,145306046.0,144648257.0,144067054.0,143518523.0,143049528.0,142805088.0,142742350.0,142785342.0,142849449.0,142960868.0
145,"Population, female (% of total)",1238,Russian Federation,RUS,"Population, female (% of total)",SP.POP.TOTL.FE.ZS,53.0848223859,53.0857635375,53.0937725504,53.1094067004,53.1327219297,53.1639926048,53.2030334967,53.2494497032,53.3017537091,53.3572180442,53.4122732877,53.463849128,53.5112700115,53.5538990437,53.5888708664,53.6129760871,53.6243848837,53.6214911995
146,Rural population,1243,Russian Federation,RUS,Rural population,SP.RUR.TOTL,39492977.0,39509488.0,39459464.0,39400200.0,39340949.0,39226747.0,39067982.0,38908465.0,38737139.0,38515491.0,38295904.0,38085510.0,37896681.0,37767662.0,37686835.0,37635360.0,37587976.0,37552961.0
147,Rural population (% of total population),1245,Russian Federation,RUS,Rural population (% of total population),SP.RUR.TOTL.ZS,26.624,26.628,26.633,26.637,26.641,26.646,26.65,26.654,26.659,26.627,26.582,26.537,26.492,26.447,26.402,26.358,26.313,26.268
148,Urban population,1247,Russian Federation,RUS,Urban population,SP.URB.TOTL,108843023.0,108866238.0,108700578.0,108515107.0,108329743.0,107987645.0,107528575.0,107067618.0,106568907.0,106132766.0,105771150.0,105433013.0,105152847.0,105037426.0,105055515.0,105149982.0,105261473.0,105407907.0
149,Urban population (% of total),1248,Russian Federation,RUS,Urban population (% of total),SP.URB.TOTL.IN.ZS,73.376,73.372,73.367,73.363,73.359,73.354,73.35,73.346,73.341,73.373,73.418,73.463,73.508,73.553,73.598,73.642,73.687,73.732
